קוד מקווה מים,שם תחנה,נחל/קבוצה,תאריך,מעבדה,Collector,pH,Temp (°C),Doxsat (%),Do (mg/l),Ec (Mmho/cm),Secchi (Cm),Nju (Jackson),צבע שדה,Q (m³/h),Dept (m),Turb (NTU),Hardness (mg/l),Ntot (mg/l),BODt (mg/l),BODs (mg/l),CODt (mg/l),CODs (mg/l),NH4 (mg/l),NO3 (mg/l),NO2 (mg/l),PO4 (mg/l),SO4 (mg/l),ABS (mg/l),Psos (mg/l),Ptot (mg/l),TKN (mg/l),TSS105 (mg/l),TSS550 (mg/l),TS (mg/l),TDS (mg/l),CO3 (mg/l),H2S (mg/l),HCO3 (mg/l),Rem_Cl (mg/l),Toc (mg/l),Minoil (mg/l),TPH (mg/l),Fcoli (cfu/100 ml),Ecoli (cfu/100 ml),TOTB (cfu/ml),Fstrp (cfu/100 ml),Coli (cfu/100 ml),Fentr (cfu/100 ml),Pseud (cfu/100 ml),Cl (mg/l),F (mg/l),Ca (mg/l),Mg (mg/l),Na (mg/l),K (mg/l),Br (mg/l),B (mg/l),Al (mg/l),Cd (mg/l),Cu (mg/l),Fe (mg/l),Ni (mg/l),Zn (mg/l),S (mg/l),Ti (mg/l),Si (mg/l),Pb (mg/l),Ag (mg/l),Cr (mg/l),Mn (mg/l),Co (mg/l),Li (mg/l),Ba (mg/l),Sr (mg/l),Mo (mg/l),As (mg/l),Sn (mg/l),Hg (mg/l),V (mg/l),Se (mg/l),Be (mg/l),Sb (mg/l),Xylene (µ/l),Toluen (µ/l),Benzen (µ/l),Note
665,גשר יוסף,ירדן עליון,3/5/2020,בקטוכם,דותן חרוש,,,,,,,,,,,,,2.95,1.2,,35,,0.05,1.59,0.041,,,,,0.11,1.32,10.5,,,,,,,,3.37,,,850,,,,,,,16.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,גשר יוסף,ירדן עליון,14/10/2020,בקטוכם,דותן חרוש,,,,,,,,,,,,,3.25,0.6,,35,,0.05,1.6,0.003,,,,,0.1,1.65,7.5,,,,,,,,2.16,,,1500,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,גשר יוסף,ירדן עליון,20/10/2021,בקטוכם,הגר סבטי,,,,,,,,,,,,,3.84,1.7,,35,,0.1,1.99,0.107,,,,,0.1,1.74,1,,,,,,,,2.29,,,620,,,300,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,גשר יוסף,ירדן עליון,15/5/2022,בקטוכם,הגר סבטי,,,,,,,,,,,,,4.3,0.9,,35,,0.1,1.61,0.002,,,,,0.1,2.69,2.5,,,,,,,,1.27,,,930,,,250,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,גשר יוסף,ירדן עליון,2/11/2022,בקטוכם,הגר סבטי,,,,,,,,,,,,,3.84,0.5,,35,,0.1,1.59,0.034,,,,,0.12,2.22,1,,,,,,,,3.5,,,350,,,150,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ספיקה חלשה - בינונית, מים צלולים."
665,גשר יוסף,ירדן עליון,10/5/2023,בקטוכם,אורית כץ,,,,,,,,,,,,,3.68,0.5,,35,,0.78,1.38,0.014,,,,,0.1,2.29,2.5,,,,,,,,0.5,,,380,,,90,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,גשר יוסף,ירדן עליון,17/4/2024,בקטוכם,אורית כץ,,,,,,,,,,,,,2.86,0.9,,35,,0.1,1.69,0.009,,,,,0.1,1.16,1,,,240,,,,,0.99,,,190,,,80,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,גשר אריק,ירדן עליון,5/12/2017,בקטוכם,הלל גלזמן,,,,,,,,,,,,,3.17,0.5,,48,,0.05,1.3,0.011,,,,,0.17,1.86,51,,,,,,,,1.64,,,560,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,גשר אריק,ירדן עליון,5/6/2018,בקטוכם,הלל גלזמן,,,,,,,,,,,,,2.59,2.2,,35,,0.2,1.64,0.007,,,,,0.14,0.94,6,,,,,,,,2.2,,,280,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,גשר אריק,ירדן עליון,24/10/2018,בקטוכם,דותן חרוש,,,,,,,,,,,,,3.05,0.5,,36,,0.5,1.74,0.029,,,,,0.1,1.28,14,,,,,,,,2.36,,,3500,,,,,,,19.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,גשר אריק,ירדן עליון,19/5/2019,בקטוכם,דותן חרוש,,,,,,,,,,,,,4.56,1.3,,35,,0.05,1.83,0.005,,,,,0.13,2.72,34.5,,,,,,,,1.83,,,240,,,,,,,15.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,גשר אריק,ירדן עליון,24/11/2019,בקטוכם,דותן חרוש,,,,,,,,,,,,,3.05,0.7,,35,,0.05,1.95,0.004,,,,,0.1,1.1,4.5,,,,,,,,1.71,,,440,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,גשר אריק,ירדן עליון,3/5/2020,בקטוכם,דותן חרוש,,,,,,,,,,,,,3.6,3.2,,35,,0.05,1.92,0.018,,,,,0.12,1.66,2,,,,,,,,2.68,,,360,,,,,,,21.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,גשר אריק,ירדן עליון,24/5/2020,בקטוכם,אורית כץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,גשר אריק,ירדן עליון,14/10/2020,בקטוכם,דותן חרוש,,,,,,,,,,,,,4.26,0.9,,35,,0.05,1.95,0.002,,,,,0.1,2.31,20.5,,,,,,,,1.89,,,750,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,גשר אריק,ירדן עליון,20/10/2021,בקטוכם,הגר סבטי,,,,,,,,,,,,,3.14,0.5,,35,,0.1,1.84,0.023,,,,,2.86,1.28,1,,,,,,,,3.4,,,580,,,190,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,גשר אריק,ירדן עליון,15/5/2022,בקטוכם,הגר סבטי,,,,,,,,,,,,,3.96,1.4,,35,,0.1,2.12,0.001,,,,,0.21,1.84,7.5,,,,,,,,2.43,,,950,,,380,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,גשר אריק,ירדן עליון,2/11/2022,בקטוכם,הגר סבטי,,,,,,,,,,,,,3.21,0.5,,35,,0.1,1.94,0.001,,,,,0.14,1.27,1,,,,,,,,3.1,,,1200,,,180,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"מים חומים, פלס נמוך יחסית. עם לקיחת הדגימה המים צלולים יותר."
672,גשר אריק,ירדן עליון,10/5/2023,בקטוכם,אורית כץ,,,,,,,,,,,,,4.16,0.5,,35,,0.85,1.51,0.006,,,,,0.1,2.64,14.5,,,,,,,,1.27,,,430,,,120,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,גשר אריק,ירדן עליון,17/4/2024,בקטוכם,אורית כץ,,,,,,,,,,,,,4.17,1.1,,35,,0.1,1.91,0.025,,,,,0.1,2.23,24,,,270,,,,,2.97,,,10,,,80,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,גשר חורי/גשר הפקק,ירדן עליון,30/11/2017,בקטוכם,הלל גלזמן,,,,,,,,,,,,,1.72,1.1,,35,,0.1,0.2,0.011,,,,,0.1,1.51,12,,,,,,,,1.36,,,350,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,גשר חורי/גשר הפקק,ירדן עליון,15/5/2018,בקטוכם,הלל גלזמן,,,,,,,,,,,,,2.5,5,,48,,0.05,1.61,0.01,,,,,0.15,0.88,1,,,,,,,,16.6,,,910,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,גשר חורי/גשר הפקק,ירדן עליון,24/10/2018,בקטוכם,דותן חרוש,,,,,,,,,,,,,3.62,0.6,,35,,0.05,2,0.127,,,,,0.1,1.49,19,,,,,,,,2.59,,,7500,,,,,,,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,גשר חורי/גשר הפקק,ירדן עליון,19/5/2019,בקטוכם,דותן חרוש,,,,,,,,,,,,,4.49,1.2,,35,,0.05,2.17,0.006,,,,,0.12,2.31,40.5,,,,,,,,1.59,,,530,,,,,,,16.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,גשר חורי/גשר הפקק,ירדן עליון,24/11/2019,בקטוכם,דותן חרוש,,,,,,,,,,,,,3.08,1,,35,,0.05,1.9,0.008,,,,,0.13,1.17,19.5,,,,,,,,1.86,,,630,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,גשר חורי/גשר הפקק,ירדן עליון,3/5/2020,בקטוכם,דותן חרוש,,,,,,,,,,,,,3.58,1.4,,35,,0.05,2.06,0.072,,,,,0.12,1.45,8,,,,,,,,2.94,,,770,,,,,,,20.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,גשר חורי/גשר הפקק,ירדן עליון,24/5/2020,בקטוכם,אורית כץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,גשר חורי/גשר הפקק,ירדן עליון,14/10/2020,בקטוכם,דותן חרוש,,,,,,,,,,,,,4.81,1,,35,,0.05,2.07,0.005,,,,,0.1,2.73,16.5,,,,,,,,2.37,,,1400,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,גשר חורי/גשר הפקק,ירדן עליון,20/10/2021,בקטוכם,הגר סבטי,,,,,,,,,,,,,3.58,0.8,,35,,0.1,1.82,0.022,,,,,0.1,1.74,1,,,,,,,,4,,,430,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"מפלס מים נמוך, מים ירקרקים בהירים."
673,גשר חורי/גשר הפקק,ירדן עליון,15/5/2022,בקטוכם,הגר סבטי,,,,,,,,,,,,,3.48,1,,35,,0.1,2.07,0.001,,,,,0.24,1.41,12,,,,,,,,1.64,,,1300,,,260,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,גשר חורי/גשר הפקק,ירדן עליון,2/11/2022,בקטוכם,הגר סבטי,,,,,,,,,,,,,4.21,0.5,,35,,0.1,2.02,0.047,,,,,0.17,2.14,1,,,,,,,,3.6,,,1100,,,290,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"מים ירקרקים צלולים, ספיקה נמוכה יחסית, מים רדודים. קצף קל עלפני המים."
673,גשר חורי/גשר הפקק,ירדן עליון,10/5/2023,בקטוכם,אורית כץ,,,,,,,,,,,,,4.87,0.5,,35,,1,1.76,0.015,,,,,0.1,3.09,10.5,,,,,,,,0.79,,,340,,,230,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,גשר חורי/גשר הפקק,ירדן עליון,17/4/2024,בקטוכם,אורית כץ,,,,,,,,,,,,,3.84,1,,35,,0.1,1.85,0.019,,,,,0.1,1.97,19.5,,,270,,,,,2.6,,,40,,,150,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3079,סכום מעיינות דישון עליון,ירדן עליון,30/11/2017,בקטוכם,הלל גלזמן,,,,,,,,,,,,,3.29,0.5,,35,,0.05,2,0.001,,,,,0.13,1.29,1,,,,,,,,2.75,,,150,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3079,סכום מעיינות דישון עליון,ירדן עליון,15/5/2018,בקטוכם,הלל גלזמן,,,,,,,,,,,,,12.13,1,,85,,0.05,10.61,0.012,,,,,0.14,1.51,1,,,,,,,,30.6,,,1700,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3079,סכום מעיינות דישון עליון,ירדן עליון,29/10/2018,בקטוכם,דותן חרוש,,,,,,,,,,,,,10.87,0.7,,35,,0.05,9.92,0.007,,,,,0.1,0.94,3.5,,,,,,,,5.11,,,4300,,,,,,,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3079,סכום מעיינות דישון עליון,ירדן עליון,19/5/2019,בקטוכם,דותן חרוש,,,,,,,,,,,,,13.36,1.1,,35,,0.05,10.29,0.005,,,,,0.13,3.06,8,,,,,,,,2.59,,,720,,,,,,,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3079,סכום מעיינות דישון עליון,ירדן עליון,24/11/2019,בקטוכם,דותן חרוש,,,,,,,,,,,,,9.72,2.3,,35,,0.05,6.97,0.001,,,,,0.52,2.75,128,,,,,,,,3.22,,,11000,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3653,גשר הדודות,ירדן עליון,5/12/2017,בקטוכם,הלל גלזמן,,,,,,,,,,,,,4.24,2.1,,35,,0.05,1.62,0.016,,,,,0.1,2.6,17.5,,,,,,,,1.5,,,1500,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3653,גשר הדודות,ירדן עליון,5/6/2018,בקטוכם,הלל גלזמן,,,,,,,,,,,,,2.31,2.1,,35,,0.2,1.65,0.001,,,,,0.16,0.66,8,,,,,,,,2.2,,,240,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3653,גשר הדודות,ירדן עליון,24/10/2018,בקטוכם,דותן חרוש,,,,,,,,,,,,,3.07,2.9,,35,,0.05,1.64,0.012,,,,,0.12,1.42,58,,,,,,,,2.99,,,980,,,,,,,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3653,גשר הדודות,ירדן עליון,19/5/2019,בקטוכם,דותן חרוש,,,,,,,,,,,,,4.27,1.1,,35,,0.05,1.82,0.006,,,,,0.17,2.44,18,,,,,,,,1.7,,,320,,,,,,,16.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3653,גשר הדודות,ירדן עליון,24/11/2019,בקטוכם,דותן חרוש,,,,,,,,,,,,,3.07,0.9,,35,,0.05,1.88,0.015,,,,,0.15,1.17,37.5,,,,,,,,1.92,,,500,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3653,גשר הדודות,ירדן עליון,3/5/2020,בקטוכם,דותן חרוש,,,,,,,,,,,,,3.46,2.1,,35,,0.05,1.99,0.021,,,,,0.11,1.45,7,,,,,,,,2.56,,,140,,,,,,,20.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3653,גשר הדודות,ירדן עליון,14/10/2020,בקטוכם,דותן חרוש,,,,,,,,,,,,,4.03,1,,35,,0.05,1.96,0.001,,,,,0,2.07,11,,,,,,,,2.65,,,1000,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3653,גשר הדודות,ירדן עליון,20/10/2021,בקטוכם,הגר סבטי,,,,,,,,,,,,,3.87,2.2,,35,,0.1,1.87,0.001,,,,,0.1,2,1,,,,,,,,5.02,,,460,,,150,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"מפלס נמוך יחסית, מים מעט עכורים."
3653,גשר הדודות,ירדן עליון,15/5/2022,בקטוכם,הגר סבטי,,,,,,,,,,,,,3.94,0.8,,35,,0.1,1.94,0.001,,,,,0.16,2,10,,,,,,,,1.55,,,520,,,240,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3653,גשר הדודות,ירדן עליון,2/11/2022,בקטוכם,הגר סבטי,,,,,,,,,,,,,3.82,0.5,,35,,0.1,1.92,0.023,,,,,0.16,1.88,1,,,,,,,,4.75,,,880,,,190,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"זרימה נמוכה יחסית, מים חום עד צלול."
3653,גשר הדודות,ירדן עליון,10/5/2023,בקטוכם,אורית כץ,,,,,,,,,,,,,3.99,0.5,,35,,0.96,1.53,0.008,,,,,1,2.45,7.5,,,,,,,,1.35,,,260,,,190,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3653,גשר הדודות,ירדן עליון,17/4/2024,בקטוכם,אורית כץ,,,,,,,,,,,,,3.49,1.2,,35,,0.1,1.94,0.023,,,,,0.1,1.53,18,,,260,,,,,3,,,520,,,470,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3666,גשר החמישה,ירדן עליון,3/5/2020,בקטוכם,דותן חרוש,,,,,,,,,,,,,3.63,1.4,,35,,0.05,2.01,0.042,,,,,0.12,1.58,2.5,,,,,,,,2.66,,,680,,,,,,,21.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3666,גשר החמישה,ירדן עליון,14/10/2020,בקטוכם,דותן חרוש,,,,,,,,,,,,,2.93,1,,35,,0.05,1.64,0.006,,,,,0.1,1.28,1,,,,,,,,3.77,,,850,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3666,גשר החמישה,ירדן עליון,20/10/2021,בקטוכם,הגר סבטי,,,,,,,,,,,,,3.35,2.1,,35,,0.1,1.59,0.002,,,,,0.1,1.76,1,,,,,,,,4.06,,,390,,,220,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מים בצבע ומפלסאופייני.
3666,גשר החמישה,ירדן עליון,15/5/2022,בקטוכם,הגר סבטי,,,,,,,,,,,,,9.2,0.9,,35,,0.1,1.81,0.001,,,,,0.1,7.39,1,,,,,,,,1.78,,,430,,,290,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3666,גשר החמישה,ירדן עליון,2/11/2022,בקטוכם,הגר סבטי,,,,,,,,,,,,,5.63,0.6,,35,,0.1,1.7,0.161,,,,,0.23,3.77,10,,,,,,,,4.45,,,780,,,180,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"מים ירקרקים צלולים, מפלס נמוך."
3666,גשר החמישה,ירדן עליון,10/5/2023,בקטוכם,אורית כץ,,,,,,,,,,,,,4.4,0.62,,35,,0.83,1.39,0.267,,,,,0.1,2.74,26.5,,,,,,,,1.16,,,860,,,100,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3666,גשר החמישה,ירדן עליון,17/4/2024,בקטוכם,אורית כץ,,,,,,,,,,,,,3.9,1.2,,35,,0.1,1.81,0.029,,,,,0.1,2.06,14.5,,,280,,,,,1.6,,,280,,,210,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3670,שפך נחל דישון שפך לירדן,ירדן עליון,3/5/2020,בקטוכם,דותן חרוש,,,,,,,,,,,,,41.36,1.2,,35,,0.05,40.1,0.233,,,,,0.1,1.03,1,,,,,,,,4.1,,,270,,,,,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3670,שפך נחל דישון שפך לירדן,ירדן עליון,14/10/2020,בקטוכם,דותן חרוש,,,,,,,,,,,,,51.46,0.8,,35,,0.05,49.61,0.035,,,,,0.1,1.81,20,,,,,,,,3.55,,,8900,,,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3670,שפך נחל דישון שפך לירדן,ירדן עליון,20/10/2021,בקטוכם,הגר סבטי,,,,,,,,,,,,,48.92,0.5,,35,,0.1,46.13,0.017,,,,,0.1,2.77,1,,,,,,,,3.1,,,290,,,800,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"זרימה אופיניית, מים צלולים."
3670,שפך נחל דישון שפך לירדן,ירדן עליון,15/5/2022,בקטוכם,הגר סבטי,,,,,,,,,,,,,43.24,0.5,,35,,0.1,40,0.04,,,,,0.1,3.2,1,,,,,,,,2.59,,,470,,,270,,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ספיקה גבוהה יחסית לנקודה, מים צלולים."
3670,שפך נחל דישון שפך לירדן,ירדן עליון,2/11/2022,בקטוכם,הגר סבטי,,,,,,,,,,,,,44.9,0.5,,35,,0.1,43.26,0.019,,,,,0.15,1.62,1,,,,,,,,6.25,,,890,,,360,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"מים צלולים, ספיקה רגילה."
3670,שפך נחל דישון שפך לירדן,ירדן עליון,10/5/2023,בקטוכם,אורית כץ,,,,,,,,,,,,,43.84,0.5,,35,,0.84,42.01,0.03,,,,,0.1,1.8,1,,,,,,,,1.03,,,890,,,220,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3670,שפך נחל דישון שפך לירדן,ירדן עליון,17/4/2024,בקטוכם,אורית כץ,,,,,,,,,,,,,44.26,1.1,,35,,0.1,43.25,0.091,,,,,0.1,0.092,47.5,,,1020,,,,,3,,,6800,,,1200,,,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3671,שפך תעלת הביטחון,ירדן עליון,3/5/2020,בקטוכם,דותן חרוש,,,,,,,,,,,,,5.51,1.1,,35,,0.05,3.71,0.007,,,,,0.24,1.79,53.5,,,,,,,,2.89,,,820,,,,,,,26.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3671,שפך תעלת הביטחון,ירדן עליון,14/10/2020,בקטוכם,דותן חרוש,,,,,,,,,,,,,5.6,0.9,,35,,0.05,3.08,0.001,,,,,0.13,2.52,24,,,,,,,,2.54,,,3000,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3671,שפך תעלת הביטחון,ירדן עליון,15/5/2022,בקטוכם,הגר סבטי,,,,,,,,,,,,,7.33,0.8,,35,,0.1,3.5,0.049,,,,,0.18,3.78,5,,,,,,,,1.41,,,760,,,210,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"זרימה חזקה יחסית, מים חומים ירקרקים."
3671,שפך תעלת הביטחון,ירדן עליון,2/11/2022,בקטוכם,הגר סבטי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,זרימה חזקה יחסית.
3671,שפך תעלת הביטחון,ירדן עליון,2/11/2022,בקטוכם,הגר סבטי,,,,,,,,,,,,,5.1,0.5,,35,,0.1,2.96,0.002,,,,,0.22,2.14,19,,,,,,,,3.1,,,3800,,,510,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3671,שפך תעלת הביטחון,ירדן עליון,17/4/2024,בקטוכם,אורית כץ,,,,,,,,,,,,,4.65,1.2,,35,,0.1,3.48,0.0006,,,,,0.1,1.17,14.5,,,230,,,,,2.4,,,480,,,350,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3675,גשר להבות,ירדן עליון,3/5/2020,בקטוכם,דותן חרוש,,,,,,,,,,,,,2.82,0.9,,35,,0.05,1.7,0.01,,,,,0.1,1.11,1,,,,,,,,3.31,,,1200,,,,,,,18.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3675,גשר להבות,ירדן עליון,14/10/2020,בקטוכם,דותן חרוש,,,,,,,,,,,,,4.58,0.5,,35,,0.05,2.2,0.004,,,,,0.1,2.38,9.5,,,,,,,,1.84,,,950,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3675,גשר להבות,ירדן עליון,20/10/2021,בקטוכם,הגר סבטי,,,,,,,,,,,,,3.85,0.8,,35,,0.1,2.04,0.089,,,,,0.1,1.72,1,,,,,,,,5.14,,,670,,,320,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,זרימה ממוצעתלעונה. מים ירקרקים מעט מאוד קצף.
3675,גשר להבות,ירדן עליון,15/5/2022,בקטוכם,הגר סבטי,,,,,,,,,,,,,3.31,0.9,,35,,0.1,1.64,0.003,,,,,0.1,1.67,6.5,,,,,,,,1.37,,,280,,,350,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ספיקה גבוהה, מים צלולים."
3675,גשר להבות,ירדן עליון,2/11/2022,בקטוכם,הגר סבטי,,,,,,,,,,,,,3.91,0.5,,35,,0.1,1.94,0.007,,,,,0.1,1.96,1,,,,,,,,4.05,,,810,,,250,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"מים ירקרקים שקופים, מפלס נמוך."
3675,גשר להבות,ירדן עליון,10/5/2023,בקטוכם,אורית כץ,,,,,,,,,,,,,3.81,0.77,,35,,0.81,1.4,0.005,,,,,0.1,2.4,1.5,,,,,,,,0.5,,,230,,,110,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3675,גשר להבות,ירדן עליון,17/4/2024,בקטוכם,אורית כץ,,,,,,,,,,,,,3.96,0.9,,35,,0.1,1.72,0.01,,,,,0.1,2.23,5.5,,,255,,,,,0.98,,,150,,,120,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3676,תחנה הידרואלקטרית- ירדן עליון,ירדן עליון,3/5/2020,בקטוכם,דותן חרוש,,,,,,,,,,,,,4.13,1.5,,35,,0.05,2.1,0.028,,,,,0.15,2,24.5,,,,,,,,3.48,,,1500,,,,,,,20.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3676,תחנה הידרואלקטרית- ירדן עליון,ירדן עליון,14/10/2020,בקטוכם,דותן חרוש,,,,,,,,,,,,,4.47,1.5,,35,,0.05,1.87,0.005,,,,,0.1,2.59,15.5,,,,,,,,3.38,,,780,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3676,תחנה הידרואלקטרית- ירדן עליון,ירדן עליון,20/10/2021,בקטוכם,הגר סבטי,,,,,,,,,,,,,4.95,1.8,,35,,0.17,1.89,0.019,,,,,0.1,3.04,1,,,,,,,,4.86,,,440,,,220,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"מפלס מים נמוך, אין כניסה ממפל התחנה, נלקחה דגימה מהזרימה הראשית."
3676,תחנה הידרואלקטרית- ירדן עליון,ירדן עליון,15/5/2022,בקטוכם,הגר סבטי,,,,,,,,,,,,,3.75,1.1,,35,,0.1,2,0.001,,,,,0.16,1.75,7.5,,,,,,,,1.64,,,860,,,390,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"זרימה חזקה, מים בצבע חום ירקרק."
3676,תחנה הידרואלקטרית- ירדן עליון,ירדן עליון,2/11/2022,בקטוכם,הגר סבטי,,,,,,,,,,,,,4.44,0.5,,35,,0.1,1.83,0.016,,,,,0.11,2.59,1,,,,,,,,4.02,,,570,,,270,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"מים ירקרקים צלולים, מפלס מים נמוכים, מעט קצף על פני המים."
